tokens,sentiment_type,count
vancouver,neutral,53
in,neutral,38
and,neutral,34
is,neutral,30
have,neutral,28
you,neutral,27
my,neutral,26
who,neutral,26
if,neutral,26
or,neutral,26
hiring,neutral,25
engineers,neutral,25
software,neutral,25
react,neutral,25
know,neutral,25
with,neutral,25
anyone,neutral,25
experience,neutral,25
texas,neutral,25
does,neutral,25
team,neutral,25
vancouver,positive,19
the,positive,18
the,neutral,18
in,positive,15
to,neutral,10
to,positive,8
and,positive,8
for,positive,7
a,neutral,7
vancouver,negative,7
of,positive,7
on,neutral,6
freedom,neutral,6
of,negative,6
at,neutral,6
i,positive,5
truckers,neutral,5
is,positive,5
this,positive,5
has,neutral,5
a,positive,5
from,positive,5
a,negative,5
of,neutral,5
just,neutral,4
it,positive,4
have,positive,4
th,neutral,4
at,positive,4
seabus,neutral,4
you,positive,4
in,negative,4
burrard,neutral,4
pm,neutral,4
one,positive,4
another,positive,4
up,positive,4
29,neutral,4
rally,neutral,4
i,neutral,4
for,neutral,3
so,positive,3
that,positive,3
bc,neutral,3
canada,neutral,3
view,positive,3
office,positive,3
nice,positive,3
as,positive,3
with,positive,3
as,neutral,3
an,positive,3
from,neutral,3
soon,neutral,3
to,negative,3
the,negative,3
on,positive,3
really,positive,3
here,positive,3
that,negative,3
these,positive,2
community,positive,2
this,neutral,2
theyre,negative,2
columbia,neutral,2
check,negative,2
get,positive,2
them,positive,2
that,neutral,2
club,positive,2
close,positive,2
close,negative,2
city,positive,2
city,negative,2
got,neutral,2
guys,positive,2
revisit,neutral,2
fan,negative,2
convoy,neutral,2
its,positive,2
hole,positive,2
everyone,positive,2
hosts,negative,2
rain,neutral,2
railway,positive,2
finally,positive,2
quay,neutral,2
first,positive,2
formerly,positive,2
iconic,positive,2
ii,neutral,2
im,neutral,2
saturday,positive,2
sale,positive,2
games,negative,2
gap,positive,2
she,neutral,2
pretty,positive,2
start,positive,2
departed,neutral,2
demanding,positive,2
striking,positive,2
study,neutral,2
get,neutral,2
its,neutral,2
my,positive,2
great,positive,2
also,neutral,2
like,positive,2
being,negative,2
otter,neutral,2
new,positive,2
arrived,neutral,2
light,positive,2
workers,positive,2
be,positive,2
work,positive,2
waterfront,neutral,2
watering,positive,2
