reply_settings,referenced_tweets,id,created_at,text,author_id,source,conversation_id,lang,in_reply_to_user_id,retweetcount,reply_count,like_count,quote_count,reference_type,reference_id,keyword,hashtags,tokens,word_count,sum_like_retweet,sentiment_polarity,sentiment_type
everyone,"{'type': 'retweeted', 'id': '1487087785907408896'}",1487213361456635908,2022-01-28T23:57:51.000Z,"my team is hiring software engineers in vancouver and texas

if you have experience with react or you know anyone who does",546094102,Twitter for iPhone,1487213361456635908,en,,3633,0,0,0,retweeted,1487087785907408896,vancouver lang:en,[],"['who', 'react', 'and', 'is', 'with', 'engineers', 'you', 'in', 'have', 'team', 'hiring', 'texas', 'experience', 'anyone', 'my', 'or', 'does', 'software', 'vancouver', 'if', 'know']",22,3633,0.0,neutral
everyone,"{'type': 'retweeted', 'id': '1487087785907408896'}",1487213321736622084,2022-01-28T23:57:41.000Z,"my team is hiring software engineers in vancouver and texas

if you have experience with react or you know anyone who does",1025491037320605697,Twitter for iPhone,1487213321736622084,en,,3633,0,0,0,retweeted,1487087785907408896,vancouver lang:en,[],"['who', 'react', 'and', 'is', 'with', 'engineers', 'you', 'in', 'have', 'team', 'hiring', 'texas', 'experience', 'anyone', 'my', 'or', 'does', 'software', 'vancouver', 'if', 'know']",22,3633,0.0,neutral
everyone,"{'type': 'retweeted', 'id': '1487206500225282053'}",1487213311125258240,2022-01-28T23:57:39.000Z,another nice view from the office          ,1105661603507200000,Twitter Web App,1487213311125258240,en,,30,0,0,0,retweeted,1487206500225282053,vancouver lang:en,"['#vancouver', '#vancity', '#yvr', '#canada', '#helicopterlife']","['office', 'from', 'nice', 'another', 'the', 'view']",6,30,0.6,positive
everyone,"{'type': 'retweeted', 'id': '1486612542352871429'}",1487213296637792263,2022-01-28T23:57:35.000Z,i have got to revisit vancouver soon i miss the rain and the men  ,1360708658720628736,Twitter for iPhone,1487213296637792263,en,,264,0,0,0,retweeted,1486612542352871429,vancouver lang:en,[],"['miss', 'men', 'to', 'vancouver', 'i', 'soon', 'revisit', 'got', 'and', 'rain', 'the', 'have']",14,264,0.0,neutral
everyone,"{'type': 'replied_to', 'id': '1487203329826455552'}",1487213254392922115,2022-01-28T23:57:25.000Z,  are you going to an early 80s vancouver canucks reunion,15393240,Twitter for iPhone,1487203329826455552,en,19886297.0,0,0,0,0,replied_to,1487203329826455552,vancouver lang:en,[],"['going', 'to', 'vancouver', 'canucks', '80s', 'early', 'an', 'you', 'reunion', 'are']",10,0,0.1,positive
everyone,"{'type': 'retweeted', 'id': '1487084901442670592'}",1487213242682277890,2022-01-28T23:57:22.000Z,ontario premier doug fords daughter krista haynes attended the freedom convoy on thursday ,158455284,Twitter for Android,1487213242682277890,en,,4,0,0,0,retweeted,1487084901442670592,vancouver lang:en,[],"['ontario', 'fords', 'daughter', 'doug', 'freedom', 'on', 'thursday', 'haynes', 'attended', 'krista', 'the', 'premier', 'convoy']",13,4,0.0,neutral
everyone,"{'type': 'retweeted', 'id': '1487202037062254595'}",1487213225808580609,2022-01-28T23:57:18.000Z,"8th day dec 2 2021   vancouver art gallery   by  

if u didnt hear cathy mcmillan ",4903845313,Twitter for Android,1487213225808580609,en,,2,0,0,0,retweeted,1487202037062254595,vancouver lang:en,"['#8daysofaction4access', '#dys…']","['art', '2021', 'day', 'hear', 'u', '2', 'vancouver', '8th', 'if', 'by', 'didnt', 'mcmillan', 'gallery', 'dec', 'cathy']",15,2,0.0,neutral
everyone,"{'type': 'retweeted', 'id': '1487211438460616707'}",1487213199971610626,2022-01-28T23:57:12.000Z,transit workers start striking in the  area saturday demanding  transit close the wage gap between them and e,1156711531154833408,Twitter for iPhone,1487213199971610626,en,,3,0,0,0,retweeted,1487211438460616707,vancouver lang:en,"['#whistler', '#bc']","['area', 'e', 'gap', 'close', 'between', 'striking', 'them', 'saturday', 'and', 'wage', 'workers', 'the', 'in', 'demanding', 'transit', 'start']",18,3,0.5,positive
everyone,"{'type': 'retweeted', 'id': '1487204974362726402'}",1487213197211754500,2022-01-28T23:57:11.000Z,hearing rutherford has requested the king henrik retirement ceremony be moved to vancouver as part of the return for the mille,1310918820,Twitter for Android,1487213197211754500,en,,2,0,0,0,retweeted,1487204974362726402,vancouver lang:en,[],"['to', 'requested', 'mille', 'return', 'of', 'henrik', 'has', 'the', 'rutherford', 'ceremony', 'as', 'king', 'vancouver', 'be', 'for', 'retirement', 'moved', 'part', 'hearing']",21,2,0.0,neutral
everyone,"{'type': 'retweeted', 'id': '1487109142238187529'}",1487213151292559361,2022-01-28T23:57:01.000Z,a sikh temple in ottawa is being forced to close temporarily after posts online suggested members of the truck convoy cou,273107148,Twitter Web App,1487213151292559361,en,,25,0,0,0,retweeted,1487109142238187529,vancouver lang:en,[],"['to', 'being', 'is', 'posts', 'ottawa', 'a', 'suggested', 'in', 'temporarily', 'truck', 'close', 'of', 'the', 'convoy', 'after', 'sikh', 'temple', 'cou', 'members', 'forced', 'online']",21,25,-0.30000000000000004,negative
everyone,"{'type': 'retweeted', 'id': '1487087785907408896'}",1487213146930618370,2022-01-28T23:56:59.000Z,"my team is hiring software engineers in vancouver and texas

if you have experience with react or you know anyone who does",759057309091844096,Twitter for iPhone,1487213146930618370,en,,3633,0,0,0,retweeted,1487087785907408896,vancouver lang:en,[],"['who', 'react', 'and', 'is', 'with', 'engineers', 'you', 'in', 'have', 'team', 'hiring', 'texas', 'experience', 'anyone', 'my', 'or', 'does', 'software', 'vancouver', 'if', 'know']",22,3633,0.0,neutral
everyone,"{'type': 'retweeted', 'id': '1487087785907408896'}",1487213120808435713,2022-01-28T23:56:53.000Z,"my team is hiring software engineers in vancouver and texas

if you have experience with react or you know anyone who does",3402582670,Twitter Web App,1487213120808435713,en,,3633,0,0,0,retweeted,1487087785907408896,vancouver lang:en,[],"['who', 'react', 'and', 'is', 'with', 'engineers', 'you', 'in', 'have', 'team', 'hiring', 'texas', 'experience', 'anyone', 'my', 'or', 'does', 'software', 'vancouver', 'if', 'know']",22,3633,0.0,neutral
everyone,"{'type': 'replied_to', 'id': '1487155174095212546'}",1487213066743914498,2022-01-28T23:56:40.000Z, a beauty i once saw a little woodpecker in a tree at the vancouver art gallery during rush hour,111781459,Twitter for Android,1487155174095212546,en,53674617.0,0,1,1,0,replied_to,1487155174095212546,vancouver lang:en,[],"['art', 'saw', 'at', 'hour', 'tree', 'vancouver', 'i', 'rush', 'beauty', 'little', 'a', 'gallery', 'the', 'in', 'woodpecker', 'during', 'once']",19,1,-0.1875,negative
everyone,"{'type': 'retweeted', 'id': '1487109651057438721'}",1487213012574355456,2022-01-28T23:56:27.000Z,the oss says its come to light that some social media posts have implied its gurdwara will accommodate the truckers c,273107148,Twitter Web App,1487213012574355456,en,,2,0,0,0,retweeted,1487109651057438721,vancouver lang:en,[],"['come', 'to', 'says', 'posts', 'some', 'will', 'have', 'light', 'gurdwara', 'c', 'media', 'the', 'its', 'oss', 'implied', 'accommodate', 'truckers', 'that', 'social']",21,2,0.21666666666666667,positive
everyone,"{'type': 'retweeted', 'id': '1485806909227618306'}",1487212987291156487,2022-01-28T23:56:21.000Z,compilation of the drive from vancouver to hope yesterday please re tweet and share   lets make a difference  ,1268074255,Twitter Web App,1487212987291156487,en,,42,0,0,0,retweeted,1485806909227618306,vancouver lang:en,['#trucker…'],"['share', 'tweet', 'to', 'of', 'vancouver', 'difference', 'make', 'drive', 'compilation', 'from', 'yesterday', 're', 'and', 'please', 'a', 'hope', 'the', 'lets']",18,42,0.0,neutral
